C1, 67.31, 36.70, 90.00, 0.1 uF, C0805
C2, 5.08, 39.37, 90.00, 680 uF, 140CLH-0810
C3, 27.94, 39.37, 90.00, 220 uF, 140CLH-0810
C4, 43.18, 21.59, 0.00, 100 nF, C0805
C5, 82.55, 48.26, 0.00, 0.1 uF, C0805
C6, 48.26, 8.89, 90.00, 100 nF, C0805
C7, 30.58, 8.49, 90.00, 100 nF, C0805
C8, 31.75, 53.34, 0.00, 0.1 uF, C0805
D1, 5.75, 24.03, 0.00, SS34, DIOM7959X265N
DECREASE, 22.34, 8.60, 0.00, MOMENTARYBUTTON, SPST_NO_SMD
IC1, 16.51, 35.20, 0.00, LM2596S, TO263-5
INCREASE, 38.85, 8.60, 0.00, MOMENTARYBUTTON, SPST_NO_SMD
L1, 27.94, 24.13, 0.00, 33 uH, L1812
R1, 49.53, 53.34, 0.00, 2.7k, R0805
R10, 85.09, 86.36, 90.00, 560, R0805
R11, 38.50, 2.26, 180.00, 10k, R0805
R12, 85.09, 29.21, 180.00, 1k, R0805
R13, 80.01, 5.08, 0.00, 1k, R0805
R14, 74.93, 5.08, 0.00, 1k, R0805
R15, 6.02, 58.18, 180.00, POTENTIOMETER, 3223G
R19, 94.18, 37.80, 270.00, 0.1R5W, BVS
R2, 88.90, 38.10, 270.00, 10k, R0805
R3, 68.58, 48.26, 0.00, 10k, R0805
R4, 73.66, 38.10, 90.00, 10k, R0805
R5, 76.20, 58.42, 0.00, 10k, R0805
R6, 85.09, 58.42, 0.00, 10k, R0805
R7, 69.08, 5.08, 0.00, 10k, R0805
R8, 78.86, 29.19, 180.00, 1k, R0805
R9, 22.94, 2.46, 180.00, 10k, R0805
U$2, 95.40, 97.40, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$3, 2.80, 2.40, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$4, 95.70, 2.50, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 43.18, 39.37, 270.00, ATMEGA328PB-AU, QFP80P900X900X120-32N
